Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour
0,0,Enjoyed a delicious meal.,negative,2023-04-07 07:00:00,User16,Instagram,#Family,63,335,Canada,2023,4,7,7
1,1,Looking forward to tomorrow.,negative,2023-12-17 03:00:00,User3,Instagram,#Life #Work,11,54,USA,2023,12,17,3
2,2,Nothing much happened today.,positive,2023-07-08 06:00:00,User3,Facebook,#Family #Chill #Fun,79,198,India,2023,7,8,6
3,3,Went for a long walk.,neutral,2023-12-15 00:00:00,User16,Instagram,#Sad #Chill #Life,1,228,UK,2023,12,15,0
4,4,Missed my train this morning.,neutral,2023-12-22 12:00:00,User15,Instagram,#Friends #Chill,17,70,Australia,2023,12,22,12
5,5,Nothing much happened today.,positive,2023-07-07 15:00:00,User6,Instagram,#Fun #Travel,4,466,UK,2023,7,7,15
6,6,Had a productive meeting.,negative,2023-07-08 09:00:00,User2,Twitter,#Work #Fun #Chill,75,365,Canada,2023,7,8,9
7,7,Had a great day at the beach!,negative,2023-05-02 02:00:00,User5,Instagram,#Travel #Family,49,27,USA,2023,5,2,2
8,8,Cooked a new recipe.,neutral,2023-02-09 01:00:00,User14,Facebook,#Happy,58,213,Canada,2023,2,9,1
9,9,Went for a long walk.,positive,2023-11-26 16:00:00,User10,Facebook,#Food #Chill #Family,65,32,USA,2023,11,26,16
10,10,Just finished reading a book.,positive,2023-08-18 19:00:00,User11,Twitter,#Chill #Fun,87,200,Australia,2023,8,18,19
11,11,Had a productive meeting.,negative,2023-07-23 10:00:00,User6,Facebook,#Family,6,352,USA,2023,7,23,10
12,12,Had a great day at the beach!,positive,2023-01-28 10:00:00,User20,Instagram,#Food #Work #Travel,18,41,Canada,2023,1,28,10
13,13,Watched a new movie.,positive,2023-02-16 13:00:00,User18,Instagram,#Sad #Work #Friends,18,275,UK,2023,2,16,13
14,14,Feeling grateful today.,positive,2023-06-29 18:00:00,User2,Instagram,#Friends #Food #Happy,54,157,Canada,2023,6,29,18
15,15,Watched a new movie.,negative,2023-01-31 12:00:00,User6,Instagram,#Work #Fun #Chill,47,177,Canada,2023,1,31,12
16,16,Work was exhausting.,neutral,2023-02-27 23:00:00,User6,Instagram,#Friends #Travel #Family,52,339,UK,2023,2,27,23
17,17,Bought a new gadget.,positive,2023-03-14 18:00:00,User10,Facebook,#Food #Life #Friends,27,65,India,2023,3,14,18
18,18,Stuck in traffic for hours.,negative,2023-06-05 08:00:00,User4,Facebook,#Work,30,294,India,2023,6,5,8
19,19,Just finished reading a book.,negative,2023-04-10 00:00:00,User11,Twitter,#Travel #Fun #Chill,21,163,USA,2023,4,10,0
20,20,Work was exhausting.,neutral,2023-10-23 07:00:00,User6,Facebook,#Friends,56,123,Canada,2023,10,23,7
21,21,Bought a new gadget.,negative,2023-11-02 07:00:00,User2,Instagram,#Chill #Happy,66,267,USA,2023,11,2,7
22,22,Nothing much happened today.,negative,2023-05-23 18:00:00,User18,Instagram,#Fun #Life #Family,95,499,USA,2023,5,23,18
23,23,Watched a new movie.,positive,2023-07-01 04:00:00,User3,Facebook,#Life,20,369,India,2023,7,1,4
24,24,Cooked a new recipe.,neutral,2023-10-24 14:00:00,User10,Facebook,#Family #Friends,82,23,Canada,2023,10,24,14
25,25,Lost my keys again.,neutral,2023-05-14 14:00:00,User13,Instagram,#Life #Fun #Chill,36,114,USA,2023,5,14,14
26,26,Cooked a new recipe.,positive,2023-01-25 07:00:00,User6,Instagram,#Friends #Chill,62,148,Canada,2023,1,25,7
27,27,Work was exhausting.,positive,2023-01-16 03:00:00,User5,Twitter,#Travel,24,265,UK,2023,1,16,3
28,28,Went for a long walk.,neutral,2023-08-12 03:00:00,User17,Facebook,#Sad,57,239,India,2023,8,12,3
29,29,Cooked a new recipe.,negative,2023-09-10 06:00:00,User4,Facebook,#Sad #Family #Fun,60,422,USA,2023,9,10,6
30,30,Had a disappointing experience.,positive,2023-09-27 14:00:00,User16,Facebook,#Travel #Fun,99,38,USA,2023,9,27,14
31,31,Feeling grateful today.,positive,2023-09-20 03:00:00,User6,Twitter,#Friends #Family,13,315,India,2023,9,20,3
32,32,Nothing much happened today.,positive,2023-06-26 01:00:00,User16,Facebook,#Sad,83,331,UK,2023,6,26,1
33,33,Had a productive meeting.,negative,2023-12-23 06:00:00,User14,Twitter,#Friends,21,41,Canada,2023,12,23,6
34,34,Lost my keys again.,negative,2023-05-05 09:00:00,User18,Twitter,#Life #Fun #Food,2,148,India,2023,5,5,9
35,35,Stuck in traffic for hours.,negative,2023-06-13 17:00:00,User11,Facebook,#Fun #Sad,87,326,UK,2023,6,13,17
36,36,Lost my keys again.,neutral,2023-07-03 01:00:00,User8,Instagram,#Travel #Chill,54,172,Australia,2023,7,3,1
37,37,Lost my keys again.,positive,2023-07-05 04:00:00,User20,Twitter,#Happy #Fun #Life,25,449,Canada,2023,7,5,4
38,38,Had a disappointing experience.,positive,2023-07-05 03:00:00,User19,Twitter,#Work,72,309,India,2023,7,5,3
39,39,Met some old friends today.,neutral,2023-05-21 18:00:00,User5,Instagram,#Travel #Chill #Happy,74,237,USA,2023,5,21,18
40,40,Had a disappointing experience.,negative,2023-06-15 16:00:00,User7,Twitter,#Life #Food #Chill,70,222,Canada,2023,6,15,16
41,41,Cooked a new recipe.,negative,2023-04-14 05:00:00,User9,Instagram,#Travel #Happy #Fun,8,24,USA,2023,4,14,5
42,42,Excited for the weekend!,positive,2023-03-04 20:00:00,User5,Twitter,#Sad #Work,7,189,Canada,2023,3,4,20
43,43,Feeling a bit under the weather.,neutral,2023-07-14 09:00:00,User18,Instagram,#Fun,63,61,Australia,2023,7,14,9
44,44,Watched a new movie.,negative,2023-09-10 10:00:00,User3,Facebook,#Sad #Life #Friends,47,35,India,2023,9,10,10
45,45,Stuck in traffic for hours.,neutral,2023-11-20 14:00:00,User16,Twitter,#Food,32,104,India,2023,11,20,14
46,46,The weather is amazing today.,negative,2023-02-28 19:00:00,User1,Twitter,#Friends #Family #Work,98,74,Canada,2023,2,28,19
47,47,Lost my keys again.,positive,2023-11-19 09:00:00,User18,Facebook,#Life #Happy #Fun,56,138,UK,2023,11,19,9
48,48,Stuck in traffic for hours.,positive,2023-10-25 00:00:00,User13,Twitter,#Fun #Work #Family,79,235,USA,2023,10,25,0
49,49,Had a productive meeting.,positive,2023-09-26 05:00:00,User6,Instagram,#Friends #Life #Family,74,245,UK,2023,9,26,5
50,50,Had a disappointing experience.,negative,2023-02-03 20:00:00,User12,Twitter,#Happy #Sad,87,478,Australia,2023,2,3,20
51,51,Met some old friends today.,negative,2023-02-17 08:00:00,User1,Facebook,#Food,76,199,USA,2023,2,17,8
52,52,Nothing much happened today.,negative,2023-01-10 17:00:00,User3,Twitter,#Life #Fun #Work,79,427,UK,2023,1,10,17
53,53,Met some old friends today.,negative,2023-08-30 14:00:00,User15,Facebook,#Fun,98,89,India,2023,8,30,14
54,54,Feeling a bit under the weather.,negative,2023-04-19 06:00:00,User17,Instagram,#Food #Work #Sad,54,105,Australia,2023,4,19,6
55,55,Feeling grateful today.,neutral,2023-12-08 10:00:00,User7,Twitter,#Work,91,126,Canada,2023,12,8,10
56,56,Feeling grateful today.,negative,2023-10-05 04:00:00,User16,Instagram,#Fun #Chill #Food,58,77,UK,2023,10,5,4
57,57,Feeling a bit under the weather.,neutral,2023-12-19 21:00:00,User20,Facebook,#Work #Chill,67,30,USA,2023,12,19,21
58,58,Just finished reading a book.,negative,2023-08-17 10:00:00,User3,Facebook,#Fun #Food,100,84,Australia,2023,8,17,10
59,59,Lost my keys again.,positive,2023-02-12 03:00:00,User9,Twitter,#Family,84,139,USA,2023,2,12,3
60,60,Feeling grateful today.,positive,2023-08-29 11:00:00,User3,Instagram,#Travel,39,324,India,2023,8,29,11
61,61,The weather is amazing today.,positive,2023-09-05 05:00:00,User6,Twitter,#Happy #Life,51,275,Australia,2023,9,5,5
62,62,Had a productive meeting.,negative,2023-08-28 18:00:00,User17,Twitter,#Life,27,2,Australia,2023,8,28,18
63,63,Had a great day at the beach!,negative,2023-12-13 07:00:00,User12,Facebook,#Sad,62,10,UK,2023,12,13,7
64,64,Feeling a bit under the weather.,negative,2023-03-27 17:00:00,User9,Instagram,#Work #Travel #Sad,54,434,UK,2023,3,27,17
65,65,Had a disappointing experience.,negative,2023-08-29 23:00:00,User11,Instagram,#Life #Travel #Family,74,488,USA,2023,8,29,23
66,66,Bought a new gadget.,negative,2023-05-16 08:00:00,User16,Twitter,#Work #Happy #Chill,10,148,USA,2023,5,16,8
67,67,Met some old friends today.,neutral,2023-04-02 09:00:00,User20,Instagram,#Travel,15,170,Canada,2023,4,2,9
68,68,Feeling grateful today.,negative,2023-11-13 15:00:00,User7,Facebook,#Work #Food #Life,93,371,Australia,2023,11,13,15
69,69,The weather is amazing today.,neutral,2023-03-13 22:00:00,User4,Twitter,#Travel #Life,71,39,India,2023,3,13,22
70,70,Bought a new gadget.,neutral,2023-02-21 03:00:00,User3,Twitter,#Chill #Travel,84,309,India,2023,2,21,3
71,71,Missed my train this morning.,neutral,2023-07-13 12:00:00,User2,Twitter,#Life #Fun #Sad,46,176,Australia,2023,7,13,12
72,72,Just finished reading a book.,negative,2023-03-21 13:00:00,User13,Twitter,#Food,9,196,Canada,2023,3,21,13
73,73,Enjoyed a delicious meal.,neutral,2023-05-26 11:00:00,User10,Facebook,#Travel #Fun #Food,89,125,India,2023,5,26,11
74,74,Had a great day at the beach!,neutral,2023-04-25 07:00:00,User20,Instagram,#Food #Sad,83,88,UK,2023,4,25,7
75,75,Looking forward to tomorrow.,positive,2023-07-22 10:00:00,User6,Facebook,#Happy #Sad #Fun,55,455,Australia,2023,7,22,10
76,76,Met some old friends today.,negative,2023-12-23 05:00:00,User7,Twitter,#Chill #Friends #Life,92,332,UK,2023,12,23,5
77,77,Had a great day at the beach!,neutral,2023-03-06 16:00:00,User8,Instagram,#Family #Life #Work,75,55,UK,2023,3,6,16
78,78,Had a great day at the beach!,negative,2023-08-01 05:00:00,User2,Instagram,#Food #Happy,8,22,Canada,2023,8,1,5
79,79,Watched a new movie.,neutral,2023-03-23 13:00:00,User18,Twitter,#Food #Chill,38,407,Australia,2023,3,23,13
80,80,Lost my keys again.,negative,2023-05-26 22:00:00,User14,Twitter,#Travel,25,466,UK,2023,5,26,22
81,81,Work was exhausting.,negative,2023-10-07 10:00:00,User18,Facebook,#Life #Food #Fun,24,148,USA,2023,10,7,10
82,82,Lost my keys again.,neutral,2023-05-05 12:00:00,User17,Twitter,#Family,84,485,USA,2023,5,5,12
83,83,Enjoyed a delicious meal.,positive,2023-03-25 21:00:00,User15,Twitter,#Chill #Work,14,332,USA,2023,3,25,21
84,84,Excited for the weekend!,negative,2023-07-19 22:00:00,User17,Twitter,#Family #Food #Chill,47,440,Canada,2023,7,19,22
85,85,Had a great day at the beach!,positive,2023-07-18 01:00:00,User14,Facebook,#Family,92,356,USA,2023,7,18,1
86,86,Enjoyed a delicious meal.,negative,2023-02-09 21:00:00,User2,Twitter,#Chill #Sad #Life,39,134,USA,2023,2,9,21
87,87,Feeling a bit under the weather.,neutral,2023-01-28 15:00:00,User13,Instagram,#Friends #Food,35,18,USA,2023,1,28,15
88,88,Went for a long walk.,negative,2023-09-08 01:00:00,User19,Twitter,#Friends #Family,76,68,Canada,2023,9,8,1
89,89,Had a productive meeting.,negative,2023-10-16 08:00:00,User11,Twitter,#Chill #Family,38,187,Canada,2023,10,16,8
90,90,Nothing much happened today.,negative,2023-08-07 08:00:00,User8,Facebook,#Happy #Sad,49,352,Canada,2023,8,7,8
91,91,Had a disappointing experience.,negative,2023-03-24 22:00:00,User10,Facebook,#Fun,93,403,India,2023,3,24,22
92,92,Enjoyed a delicious meal.,neutral,2023-05-19 16:00:00,User8,Facebook,#Chill #Travel,77,234,India,2023,5,19,16
93,93,Had a productive meeting.,negative,2023-08-01 20:00:00,User20,Twitter,#Friends #Chill,88,187,USA,2023,8,1,20
94,94,Feeling a bit under the weather.,negative,2023-09-28 09:00:00,User18,Instagram,#Chill,70,149,Australia,2023,9,28,9
95,95,Cooked a new recipe.,positive,2023-04-08 01:00:00,User3,Twitter,#Work,19,65,USA,2023,4,8,1
96,96,Missed my train this morning.,positive,2023-06-24 00:00:00,User1,Facebook,#Work #Friends #Food,41,452,Australia,2023,6,24,0
97,97,Went for a long walk.,neutral,2023-07-22 15:00:00,User12,Facebook,#Sad #Travel #Food,17,213,UK,2023,7,22,15
98,98,Watched a new movie.,negative,2023-06-26 11:00:00,User18,Facebook,#Fun #Work #Life,18,172,Canada,2023,6,26,11
99,99,Work was exhausting.,positive,2023-02-21 23:00:00,User6,Facebook,#Work #Happy #Sad,41,51,USA,2023,2,21,23
100,100,Watched a new movie.,negative,2023-08-11 09:00:00,User14,Twitter,#Fun,8,125,Australia,2023,8,11,9
101,101,Watched a new movie.,positive,2023-06-24 20:00:00,User10,Facebook,#Life,37,13,USA,2023,6,24,20
102,102,Just finished reading a book.,negative,2023-05-28 16:00:00,User11,Instagram,#Work #Life,6,432,Canada,2023,5,28,16
103,103,Work was exhausting.,positive,2023-08-11 14:00:00,User14,Twitter,#Fun #Friends,78,401,Australia,2023,8,11,14
104,104,Feeling grateful today.,negative,2023-11-02 18:00:00,User14,Instagram,#Friends,76,475,USA,2023,11,2,18
105,105,Enjoyed a delicious meal.,neutral,2023-12-11 21:00:00,User11,Instagram,#Travel #Work #Chill,20,185,USA,2023,12,11,21
106,106,Went for a long walk.,neutral,2023-05-23 16:00:00,User20,Twitter,#Fun #Life #Sad,1,368,Australia,2023,5,23,16
107,107,The weather is amazing today.,negative,2023-09-19 19:00:00,User13,Facebook,#Family,60,437,India,2023,9,19,19
108,108,Nothing much happened today.,neutral,2023-05-12 22:00:00,User10,Twitter,#Work,40,439,Canada,2023,5,12,22
109,109,Nothing much happened today.,positive,2023-09-24 13:00:00,User11,Instagram,#Work,60,57,India,2023,9,24,13
110,110,Had a great day at the beach!,positive,2023-12-09 00:00:00,User10,Twitter,#Happy #Sad,0,314,USA,2023,12,9,0
111,111,Feeling a bit under the weather.,positive,2023-10-22 15:00:00,User19,Facebook,#Travel #Chill #Food,64,164,USA,2023,10,22,15
112,112,Missed my train this morning.,positive,2023-03-14 05:00:00,User7,Facebook,#Family #Life,68,318,Australia,2023,3,14,5
113,113,Enjoyed a delicious meal.,negative,2023-04-19 16:00:00,User2,Instagram,#Family,95,87,USA,2023,4,19,16
114,114,Went for a long walk.,positive,2023-08-05 13:00:00,User18,Facebook,#Family #Chill #Food,60,178,Australia,2023,8,5,13
115,115,Just finished reading a book.,negative,2023-05-16 07:00:00,User12,Facebook,#Chill #Friends,86,455,Australia,2023,5,16,7
116,116,Work was exhausting.,negative,2023-01-09 13:00:00,User11,Instagram,#Happy #Work,14,285,India,2023,1,9,13
117,117,Lost my keys again.,neutral,2023-12-26 15:00:00,User11,Instagram,#Family #Life,52,237,Canada,2023,12,26,15
118,118,Enjoyed a delicious meal.,positive,2023-11-09 05:00:00,User14,Instagram,#Family,87,348,India,2023,11,9,5
119,119,Nothing much happened today.,negative,2023-01-25 22:00:00,User18,Facebook,#Sad #Travel,45,484,Canada,2023,1,25,22
120,120,Excited for the weekend!,positive,2023-07-16 13:00:00,User12,Facebook,#Sad,82,218,India,2023,7,16,13
121,121,Stuck in traffic for hours.,negative,2023-05-21 05:00:00,User9,Instagram,#Happy #Travel #Friends,41,264,Australia,2023,5,21,5
122,122,Had a productive meeting.,neutral,2023-01-19 04:00:00,User5,Instagram,#Friends #Sad,71,90,USA,2023,1,19,4
123,123,Work was exhausting.,negative,2023-09-08 22:00:00,User3,Twitter,#Work,80,305,USA,2023,9,8,22
124,124,Went for a long walk.,negative,2023-07-20 23:00:00,User20,Facebook,#Friends,74,81,USA,2023,7,20,23
125,125,Feeling grateful today.,negative,2023-01-27 08:00:00,User9,Facebook,#Food #Work,11,186,India,2023,1,27,8
126,126,Feeling grateful today.,neutral,2023-04-25 14:00:00,User10,Instagram,#Family #Travel,51,485,USA,2023,4,25,14
127,127,Just finished reading a book.,negative,2023-12-14 22:00:00,User5,Facebook,#Friends #Work,70,417,USA,2023,12,14,22
128,128,Missed my train this morning.,neutral,2023-07-20 04:00:00,User20,Twitter,#Friends,16,96,Australia,2023,7,20,4
129,129,Lost my keys again.,negative,2023-01-25 02:00:00,User5,Twitter,#Family #Work #Happy,68,326,Canada,2023,1,25,2
130,130,Stuck in traffic for hours.,neutral,2023-04-19 02:00:00,User15,Instagram,#Fun #Travel #Happy,43,387,India,2023,4,19,2
131,131,Feeling grateful today.,neutral,2023-11-25 05:00:00,User11,Instagram,#Fun #Chill,23,222,UK,2023,11,25,5
132,132,Met some old friends today.,positive,2023-04-19 12:00:00,User5,Instagram,#Happy #Fun #Friends,3,59,Australia,2023,4,19,12
